"lat","lng"
"42.26411","-71.08904000000001"
"42.264450000000004","-71.08875"
"42.26475000000001","-71.08906"
"42.265100000000004","-71.09384"
"42.26558","-71.0938"
"42.26547","-71.09438"
"42.20644","-71.11963"
"42.20441","-71.13349000000001"
"42.3325","-71.25512"
"42.336400000000005","-71.25655"
"42.338150000000006","-71.25802"
"42.33888","-71.25914"
"42.34147","-71.26323000000001"
"42.13177","-72.0532"
"42.482690000000005","-73.66494"
"42.514140000000005","-73.78692000000001"
"42.83856","-78.79309"
"42.051500000000004","-80.07610000000001"
"41.60886","-81.42877"
"41.595890000000004","-81.44581000000001"
"41.5187","-81.67411000000001"
"41.497420000000005","-81.67554000000001"
"41.47939","-81.69324"
"41.46199","-81.69429000000001"
"41.42831","-81.81742000000001"
"41.42268000000001","-81.82515000000001"
"41.38591","-81.98166"
"41.59165","-87.22823000000001"
"41.588710000000006","-87.23297000000001"
"41.587250000000004","-87.23319000000001"
"41.57826","-87.6692"
"41.44033","-90.32135000000001"
"41.457570000000004","-90.4903"
"41.59752","-93.77721000000001"
"41.592220000000005","-93.80225"
"41.23189","-95.83509000000001"
"41.03611","-102.13637000000001"
"39.851110000000006","-104.91948000000001"
"39.82108","-104.97708000000002"
"39.77644","-104.98958"
"39.772870000000005","-104.99073000000001"
"39.752660000000006","-104.98739"
"39.73846","-104.98740000000001"
"39.73845","-104.98488"
"39.737570000000005","-104.98488"
"39.737570000000005","-104.98488"
"39.736850000000004","-104.98488"
"39.73684","-104.98613"
"39.74795","-104.98611000000001"
"39.748920000000005","-104.98738"
"39.75453","-104.98738"
"39.76671","-104.99485000000001"
"39.76713","-104.99356"
"39.82157","-104.98255"
"39.982870000000005","-105.22643000000001"
"40.02915","-105.25831000000001"
"40.029180000000004","-105.26313"
"40.03316","-105.26321000000002"
"40.033300000000004","-105.27038"
"40.03369","-105.27039"
"40.03369","-105.27039"
"40.033300000000004","-105.27038"
"40.03316","-105.26321000000002"
"40.029180000000004","-105.26313"
"40.02906","-105.25851000000002"
"40.004340000000006","-105.25876000000001"
"40.000460000000004","-105.26019000000001"
"39.99651","-105.26123000000001"
"39.726200000000006","-105.20218000000001"
"39.71782","-105.19814000000001"
"38.94351","-109.81028"
"38.94303","-109.81677"
"38.61101","-109.60818"
"38.61647","-109.61547"
"38.616600000000005","-109.61724000000001"
